firm_id,name,website_root,missing_fields,payout_frequency,max_drawdown_rule,daily_drawdown_rule,jurisdiction_tier
proptrustedcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
traderseedio,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
bestpropfirmscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
trader2bcom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
blueguardiancom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtradingglobalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedempirecom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedxcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
thefundedtraderprogramcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundednationcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
infinityforexfundscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtradernetworkcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
mentfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
traderscentralcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtraderelitecom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtradercapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtraderworldcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtraderprocom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedfuturesnetworkcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedfuturesprocom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
vertexfuturesfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
summitfuturestradercom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
aurorapropfuturescom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
novafuturesnetworkcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
glacierfuturesfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
horizonfutureslabcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtraderfuturescom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
futuresfundedtradercom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedfuturestradercom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
astrafuturesnetworkcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pillarpropcapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
heliosproptradingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
orionfundedtraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propdeskcapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
primepropcapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
atlasfundedtraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pinnaclefundedtraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
summitpropfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
horizonpropfirmcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
zenithtradingfundedcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
everestproptraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
astrafundedcapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
vectorpropfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
globefundedmarketscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
orbitproptradingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
magnetfundedfxcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
neonpropcapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
helixfundedtraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
corepropmarketscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pulsefundedtraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
matrixfundedtradingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
ignitepropfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantbridgecapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantproptradingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantpropfirmcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
topstepcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantpropfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
earn2tradecom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
takeprofittradercom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
oneuptradercom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
alphacryptofund,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantcryptoio,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
leelootradingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
helixdigitalassetscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
orbitcryptofundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
magnetdigitalpropcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
neoncryptotraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pulsedigitalfundingcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
matrixdigitalmarketscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
corecryptocapitalcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
summitdigitaltraderscom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
ignitecryptolabcom,Proptrusted Com,https://proptrusted.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
auroradigitalpropcom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantcryptocapitalcom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
cryptopropdeskcom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
cryptoproptradingio,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
cryptofundedtradercom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
cryptopropcapitalcom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
optivercom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
imccom,Trader2B Com,https://trader2b.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
janestreetcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
gsacouk,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
hftfundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
flowtraderscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantitativefundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
uprofittradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quantitativebrokerscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundingtickscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
traderslaunchcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
thetradingpitcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
bulenoxcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
futuresfundedcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
elitetraderfundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
alphafuturescom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
purdiacom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
tradedaycom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
aquafutures,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
tradeifyco,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
top-one-futures,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
tickticktradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propshoptrader-futures,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
apextraderfundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
myfundedfuturescom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
the5erscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundednextcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundingpipscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
e8marketscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fxifycom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
alphacapitalgroupuk,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
thinkcapitalcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
maventradingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
quanttekelcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
blueberryfundedcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fortraderscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
cryptofundtradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
hantecmarketscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
aquafundedcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propoandacom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
tradethepoolcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedtradingpluscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
larkfundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fidelcrestcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
luxtradingfirmcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
audacitycapitalcouk,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
surgetradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
traderswithedgecom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
citytradersimperiumcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fintokeicom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
ftukcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
sabiotradecom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedpeakscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
novafundingio,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
myfundedfxcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
goatfundedtradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
giimercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
funderprocom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
instantfundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
wemastertradecom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedelitecom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
toponetradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
seacrestmarketscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
finotivefundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
atfundedcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
brightfundedcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
lionheartfundingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedengineercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pipfarmcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
tradersbaycom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedbullcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedacademycom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
thefundedhubcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
propnumberonecom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
smartproptradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
dnafundercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedprimecom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
thefundedtradercom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
trueforexfundscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
traders-central,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
funding-dynasty,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
alpha-trading-hub,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
prop-firm-network,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
pipsiders,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
fundedx,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
proptrade-fund,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
traderedge-funding,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
prime-funded,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
capitalize-funding,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
drwcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
myforexfundscom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
hudsonrivertradingcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
akunacapitalcom,Auroradigitalprop Com,https://auroradigitalprop.com,"payout_frequency,max_drawdown_rule,daily_drawdown_rule",,,,Tier 2
mavensecuritiescom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
davinciderivativescom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
sigcom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
towerresearchcom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
jumptradingcom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
twosigmacom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
citadelsecuritiescom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
schonfeldcom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
point72com,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
quantlabcom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
stockfundedtradercom,FundedPrime,https://fundedprime.com,"max_drawdown_rule,daily_drawdown_rule",daily,,,Tier 2
